Filename,Date,Time,Img
pondeli_04_p2_polymer_mys02_l_bok_05h_2020-09-07_19-14-18-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:15:47,Frgrnd
pondeli_04_p2_polymer_mys02_p_bok_00h_2020-09-07_13-56-45-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,13:57:59,Frgrnd
pondeli_04_p2_polymer_mys02_p_bok_00h_2020-09-07_13-59-09-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:00:29,Frgrnd
pondeli_04_p2_polymer_mys02_p_bok_05h_2020-09-07_19-07-00-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:08:38,Frgrnd
pondeli_04_p2_polymer_mys03_bricho_00h_2020-09-07_14-08-50-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:10:09,Frgrnd
pondeli_04_p2_polymer_mys03_bricho_05h_2020-09-07_19-23-46-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:25:15,Frgrnd
pondeli_04_p2_polymer_mys03_l_bok_00h_2020-09-07_14-15-02-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:16:22,Frgrnd
pondeli_04_p2_polymer_mys03_l_bok_05h_2020-09-07_19-33-26-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:34:55,Frgrnd
pondeli_04_p2_polymer_mys03_p_bok_00h_2020-09-07_14-17-30-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:18:49,Frgrnd
pondeli_04_p2_polymer_mys03_p_bok_00h_2020-09-07_14-20-00-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:21:20,Frgrnd
pondeli_04_p2_polymer_mys03_p_bok_05h_2020-09-07_19-26-34-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:28:02,Frgrnd
pondeli_04_p2_polymer_mys03_p_bok_05h_2020-09-07_19-29-24-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:30:53,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_24h_2020-09-08_13-22-37-MWL-Ex(750)-Em(830)_Frgrnd,09/08/2020,13:24:06,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_48h_2020-09-09_13-43-53-MWL-Ex(750)-Em(830)_Frgrnd,09/09/2020,13:45:21,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_72h_2020-09-10_11-45-04-MWL-Ex(750)-Em(830)_Frgrnd,09/10/2020,11:46:32,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_d07_2020-09-14_16-02-01-MWL-Ex(750)-Em(830)_Frgrnd,09/14/2020,16:03:29,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_d120_2021-01-08_12-16-22-MWL-Ex(750)-Em(830)_Frgrnd,01/08/2021,12:17:49,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_d150_2021-02-04_10-35-35-MWL-Ex(750)-Em(830)_Frgrnd,02/04/2021,10:37:05,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_d15_2020-09-22_11-07-03-MWL-Ex(750)-Em(830)_Frgrnd,09/22/2020,11:08:32,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_d180_2021-03-09_13-49-31-MWL-Ex(750)-Em(830)_Frgrnd,03/09/2021,13:50:59,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_d245_2021-05-13_13-06-25-MWL-Ex(750)-Em(830)_Frgrnd,05/13/2021,13:07:45,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_d29_2020-10-06_09-49-19-MWL-Ex(750)-Em(830)_Frgrnd,10/06/2020,09:51:14,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_d57_2020-11-03_12-01-19-MWL-Ex(750)-Em(830)_Frgrnd,11/03/2020,12:02:47,Frgrnd
pondeli_04_p2_polymer_vsechny_Bricho_d70_2020-11-16_19-09-38-MWL-Ex(750)-Em(830)_Frgrnd,11/16/2020,19:10:48,Frgrnd
pondeli_04_p2_polymer_vsechny_bricho_d85_2020-12-02_11-55-56-MWL-Ex(750)-Em(830)_Frgrnd,12/02/2020,11:57:51,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_24h_2020-09-08_13-26-40-MWL-Ex(750)-Em(830)_Frgrnd,09/08/2020,13:28:08,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_48h_2020-09-09_13-47-11-MWL-Ex(750)-Em(830)_Frgrnd,09/09/2020,13:48:41,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_72h_2020-09-10_11-48-06-MWL-Ex(750)-Em(830)_Frgrnd,09/10/2020,11:49:37,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_d07_2020-09-14_16-05-20-MWL-Ex(750)-Em(830)_Frgrnd,09/14/2020,16:06:48,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_d120_2021-01-08_12-20-01-MWL-Ex(750)-Em(830)_Frgrnd,01/08/2021,12:21:28,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_d150_2021-02-04_10-39-35-MWL-Ex(750)-Em(830)_Frgrnd,02/04/2021,10:41:04,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_d15_2020-09-22_11-09-52-MWL-Ex(750)-Em(830)_Frgrnd,09/22/2020,11:11:21,Frgrnd
